WPS Index Rank,,,WPS index,Region,Education,Employment,Financial Inclusion,Cell Phone Use,Parliamentary Representation,Absence of Legal Discrimination,Access to Justice,Maternal Mortality Ratio,Son Bias,Intimate partner violence ,Community Safety,Political Violence Targeting Women,Proximity to Conflict
1,Denmark,DNK,0.939,DC,13.2,77.9,100.0,100.0,43.6,100.0,4.0,4.0,105.6,3.3,85.0,0.0,0.0
2,Iceland,ISL,0.932,DC,13.9,83.7,100.0,100.0,46.0,100.0,3.4,3.0,105.9,2.8,82.0,0.0,0.0
3,Norway,NOR,0.924,DC,13.1,78.6,100.0,100.0,44.4,96.9,3.7,1.0,106.1,4.4,86.0,0.0,0.0
3,Sweden,SWE,0.924,DC,12.8,82.2,100.0,100.0,45.0,100.0,3.7,4.0,105.6,6.3,74.0,0.0,0.0
5,Finland,FIN,0.921,DC,13.1,78.4,99.1,100.0,45.5,97.5,3.5,8.0,105.2,8.1,78.0,0.0,0.0
6,Luxembourg,LUX,0.918,DC,12.8,74.4,98.2,93.0,35.0,100.0,3.8,11.0,105.3,3.5,86.0,0.0,0.0
7,Belgium,BEL,0.912,DC,12.3,71.6,98.7,95.0,43.1,100.0,3.9,4.0,104.9,4.8,63.0,0.0,0.0
8,Netherlands,NLD,0.905,DC,12.4,79.5,99.5,95.0,39.6,100.0,3.4,4.0,105.3,5.1,69.0,0.0,0.0
9,Austria,AUT,0.898,DC,12.0,74.7,100.0,95.0,38.7,96.9,3.0,6.0,105.5,3.6,82.0,0.0,0.0
9,New Zealand,NZL,0.898,DC,12.9,79.5,99.2,95.0,45.5,97.5,3.6,7.0,105.3,4.2,47.0,0.0,0.0
11,Australia,AUS,0.896,DC,12.9,76.5,100.0,95.0,44.9,96.9,3.5,2.0,105.6,2.9,52.0,0.0,0.0
11,Estonia,EST,0.896,CEE&CA,13.8,82.5,99.6,100.0,28.7,97.5,3.5,5.0,106.1,4.2,75.0,0.0,0.0
13,Ireland,IRL,0.891,DC,11.9,75.8,99.5,95.0,30.3,100.0,3.7,4.0,105.6,3.3,68.0,0.0,0.0
14,Slovenia,SVN,0.889,CEE&CA,12.8,77.4,98.2,97.0,30.0,96.9,3.6,3.0,106.3,3.4,79.0,0.0,0.0
15,Lithuania,LTU,0.887,CEE&CA,13.6,80.4,90.4,100.0,28.4,93.8,3.5,8.0,105.2,5.2,65.0,0.0,0.0
16,Canada,CAN,0.885,DC,13.9,75.5,99.5,88.0,36.0,100.0,3.0,12.0,105.5,2.6,63.0,0.0,0.0
17,Latvia,LVA,0.884,CEE&CA,13.6,77.8,97.6,100.0,31.0,100.0,3.8,19.0,106.3,6.3,65.0,0.0,0.0
17,Singapore,SGP,0.884,DC,11.7,76.6,96.9,100.0,29.6,82.5,3.2,6.0,106.0,2.4,97.0,0.0,0.0
19,Switzerland,CHE,0.877,DC,13.5,80.1,99.0,91.0,37.8,88.1,3.9,5.0,105.1,1.7,84.0,0.0,0.0
20,United Arab Emirates,ARE,0.872,MENA,13.4,59.0,86.7,100.0,50.0,82.5,2.1,3.0,104.5,8.2,91.0,0.0,0.0
21,Germany,DEU,0.869,DC,14.0,78.5,100.0,96.0,32.6,100.0,3.9,4.0,105.6,5.1,78.0,0.0,0.0
22,Japan,JPN,0.866,DC,12.5,78.6,98.8,92.0,19.0,78.8,3.6,3.0,105.1,3.9,71.0,0.0,0.0
23,France,FRA,0.864,DC,11.4,74.1,100.0,96.0,36.5,100.0,3.4,7.0,105.0,5.0,70.0,0.0,0.0
23,United Kingdom,GBR,0.864,DC,13.6,75.8,99.9,95.0,34.7,97.5,3.0,8.0,105.5,4.2,73.0,0.0,0.0
25,Spain,ESP,0.862,DC,10.5,69.0,97.5,98.0,43.5,100.0,3.8,3.0,106.5,2.9,75.0,0.0,0.0
26,Portugal,PRT,0.861,DC,9.6,78.6,90.2,94.0,34.8,100.0,3.0,15.0,105.7,4.4,68.0,0.0,0.0
27,Poland,POL,0.854,CEE&CA,13.3,74.5,95.7,95.0,29.1,93.8,2.8,2.0,106.1,3.1,60.0,0.0,0.0
27,Taiwan,TWN,0.854,EAP,10.3,65.6,93.6,95.0,41.6,83.3,3.4,13.0,106.7,6.5,82.0,0.0,0.0
29,Serbia,SRB,0.844,CEE&CA,11.0,71.5,89.8,93.0,37.2,93.8,3.1,11.0,106.9,3.9,69.0,0.0,0.0
30,Malta,MLT,0.841,DC,12.0,76.1,95.3,96.0,29.1,91.3,3.3,8.0,106.8,4.0,56.0,0.0,0.0
31,United States,USA,0.84,DC,14.0,71.2,96.8,99.0,28.3,91.3,3.4,17.0,104.9,6.0,58.0,0.0,0.0
32,Czechia,CZE,0.832,CEE&CA,12.7,79.3,93.4,97.0,24.3,93.8,3.5,3.0,105.4,4.1,70.0,0.0,0.0
32,Hungary,HUN,0.832,CEE&CA,12.1,80.1,86.9,96.0,15.2,93.8,3.0,12.0,105.9,5.7,65.0,0.0,0.0
34,Costa Rica,CRI,0.824,LAC,8.9,55.9,61.1,94.0,49.1,91.9,3.5,24.0,104.6,7.2,44.0,0.0,0.0
35,Uruguay,URY,0.822,LAC,10.8,71.8,75.7,96.0,29.2,88.8,3.3,15.0,105.5,4.3,40.0,0.0,0.0
36,Moldova,MDA,0.821,CEE&CA,11.9,78.1,62.9,90.0,40.0,90.6,2.8,19.0,106.2,9.1,58.0,0.0,0.0
37,South Korea,KOR,0.815,DC,12.1,67.8,98.7,96.0,20.3,88.1,3.3,4.0,105.9,8.0,72.0,0.0,0.0
38,Bulgaria,BGR,0.814,CEE&CA,11.5,76.9,84.3,91.0,21.3,90.6,2.4,6.0,106.0,5.9,64.0,0.0,0.0
39,Italy,ITA,0.811,DC,10.6,60.1,97.1,99.0,33.9,97.5,3.7,6.0,105.9,3.5,44.0,0.0,0.0
40,Seychelles,SYC,0.81,SSA,11.0,77.9,76.5,87.3,28.6,76.3,3.9,42.0,103.6,10.2,58.6,0.0,0.0
41,Hong Kong,HKG,0.809,EAP,12.0,67.7,98.2,98.0,18.9,91.9,2.2,29.5,107.7,2.5,92.0,0.0,0.0
42,Barbados,BRB,0.807,LAC,10.4,76.7,83.6,93.7,29.4,80.0,3.1,35.0,103.5,6.2,56.4,0.0,0.0
43,Romania,ROU,0.801,CEE&CA,11.3,63.5,65.7,95.0,21.7,90.6,2.8,12.0,105.6,6.9,59.0,0.0,0.0
44,Mongolia,MNG,0.799,EAP,9.9,63.4,99.0,99.0,25.4,90.6,2.5,41.0,104.4,11.5,46.0,0.0,0.0
45,Georgia,GEO,0.798,CEE&CA,12.8,63.9,70.7,96.0,22.0,88.1,2.4,20.0,106.6,2.9,79.0,0.0,10.6
46,Slovakia,SVK,0.797,CEE&CA,12.9,77.1,94.0,97.0,23.3,87.5,3.2,4.0,105.5,5.9,58.0,0.0,0.0
47,Argentina,ARG,0.791,LAC,11.4,67.3,73.8,91.0,43.2,79.4,2.8,33.0,105.1,4.5,41.0,0.0,0.0
48,Croatia,HRV,0.788,CEE&CA,11.9,73.7,90.0,97.0,33.1,93.8,3.0,3.0,106.0,4.0,69.0,0.1,0.0
49,Grenada,GRD,0.787,LAC,9.3,70.4,77.1,92.5,31.0,80.6,2.4,48.0,103.9,7.8,60.6,0.0,0.0
49,North Macedonia,MKD,0.787,CEE&CA,9.6,56.2,79.9,94.0,39.2,85.0,2.3,3.0,107.6,4.2,68.0,0.0,0.0
51,Suriname,SUR,0.779,LAC,9.2,53.9,70.9,91.5,31.4,76.9,3.1,84.0,104.0,7.7,63.6,0.0,0.0
52,Cyprus,CYP,0.77,CEE&CA,12.4,76.4,92.7,100.0,14.3,96.9,3.7,14.0,106.5,3.1,59.0,0.1,0.0
52,Guyana,GUY,0.77,LAC,8.6,42.4,70.9,91.5,39.4,86.9,2.6,75.0,103.7,10.5,63.6,0.0,0.0
54,Paraguay,PRY,0.768,LAC,8.9,66.2,55.3,94.0,23.2,94.4,2.2,58.0,105.0,5.5,44.0,0.0,0.0
55,Bahrain,BHR,0.765,MENA,12.1,48.4,75.4,100.0,22.5,68.1,1.4,17.0,103.8,8.2,87.0,0.0,0.0
56,Armenia,ARM,0.762,CEE&CA,11.3,62.4,52.2,94.0,38.3,90.6,3.1,19.0,108.3,4.6,79.0,0.0,42.1
57,Thailand,THA,0.761,EAP,8.9,76.5,92.7,90.0,20.4,78.1,1.9,34.0,106.4,9.3,59.0,0.0,2.8
58,Oman,OMN,0.755,MENA,12.1,45.6,63.5,100.0,10.2,46.3,2.6,13.0,104.4,8.2,90.0,0.0,0.0
59,Bosnia and Herzegovina,BIH,0.753,CEE&CA,10.3,51.6,70.4,88.0,15.8,85.0,2.4,6.0,106.7,3.4,62.0,0.0,0.0
60,Greece,GRC,0.752,DC,11.1,61.9,93.4,92.0,23.3,100.0,3.2,5.0,106.4,5.1,51.0,0.1,0.0
61,Montenegro,MNE,0.743,CEE&CA,12.2,63.1,67.6,94.0,27.2,85.0,2.8,6.0,106.7,4.4,85.0,0.3,0.0
62,Cabo Verde,CPV,0.741,SSA,5.8,58.4,54.8,71.0,44.4,86.3,2.6,40.0,103.3,10.9,58.0,0.0,0.0
63,Belarus,BLR,0.739,CEE&CA,12.1,80.8,81.3,88.0,32.7,75.6,1.0,1.0,105.9,6.3,56.0,0.0,0.0
63,Chile,CHL,0.739,LAC,11.2,64.0,86.6,96.0,32.8,80.0,3.1,10.0,104.3,5.8,34.0,0.1,0.0
