origin_country,origin_wps_score,origin_region,asylum_country,asylum_wps_score,asylum_region,total_female_displaced,female_percentage
Afghanistan,0.279,"SA, FS",Iran (Islamic Rep. of),0.608,SA,1718986,0.49437603139644104
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Colombia,0.551,LAC,1513067,0.538655833743923
Syrian Arab Rep.,0.364,"MENA, FS",Türkiye,0.664,CEE&CA,1406143,0.48462990241525183
Afghanistan,0.279,"SA, FS",Pakistan,0.462,SA,1219261,0.47684716233033309
Ukraine,0.645,"CEE&CA, FS",Germany,0.869,DC,661866,0.54810241155918671
Ukraine,0.645,"CEE&CA, FS",Poland,0.854,CEE&CA,602512,0.60573998839817389
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Peru,0.701,LAC,574059,0.34521787082601424
Myanmar,0.442,"EAP, FS",Bangladesh,0.526,SA,515681,0.51281130792087481
South Sudan,0.411,"SSA, FS",Uganda,0.587,SSA,508899,0.52190540458773083
Stateless,,,Cote d'Ivoire,0.589,SSA,498390,0.53534025508658634
Sudan,0.397,"MENA, FS",Chad,0.476,"SSA, FS",449044,0.40364920657892728
Syrian Arab Rep.,0.364,"MENA, FS",Lebanon,0.575,"MENA, FS",393504,0.51870003361300232
Sudan,0.397,"MENA, FS",Egypt,0.617,MENA,326481,0.54169556430872967
South Sudan,0.411,"SSA, FS",Sudan,0.397,"MENA, FS",316423,0.51614381814266974
Syrian Arab Rep.,0.364,"MENA, FS",Jordan,0.686,MENA,307820,0.50340734586809233
Stateless,,,Thailand,0.761,EAP,298678,0.488027175982131
Dem. Rep. of the Congo,0.583,"SSA, FS",Uganda,0.587,SSA,288720,0.51384637289100876
Syrian Arab Rep.,0.364,"MENA, FS",Germany,0.869,DC,286436,0.36346932534410409
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Chile,0.739,LAC,264467,0.49645119810780625
Sudan,0.397,"MENA, FS",South Sudan,0.411,"SSA, FS",249054,0.51070819252600153
Somalia,0.455,"MENA, FS",Kenya,0.542,SSA,240163,0.51261347215729969
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Ecuador,0.612,LAC,230813,0.518939785690839
South Sudan,0.411,"SSA, FS",Ethiopia,0.516,"SSA, FS",230027,0.53534366192594041
Ukraine,0.645,"CEE&CA, FS",Czechia,0.832,CEE&CA,223572,0.57545416638782643
Stateless,,,Myanmar,0.442,"EAP, FS",190304,0.52000032789662509
Somalia,0.455,"MENA, FS",Ethiopia,0.516,"SSA, FS",188483,0.52075182901222283
Central African Rep.,0.362,"SSA, FS",Cameroon,0.451,"SSA, FS",153014,0.51288119004364119
Ukraine,0.645,"CEE&CA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,140218,0.54754262240028739
Syrian Arab Rep.,0.364,"MENA, FS",Iraq,0.51,"MENA, FS",135627,0.44671306375592451
Afghanistan,0.279,"SA, FS",Germany,0.869,DC,120560,0.371644533224824
Nigeria,0.495,"SSA, FS",Niger,0.492,"SSA, FS",119809,0.48726020098990169
Ukraine,0.645,"CEE&CA, FS",Italy,0.811,DC,116813,0.68853261029736823
Central African Rep.,0.362,"SSA, FS",Dem. Rep. of the Congo,0.583,"SSA, FS",110438,0.53541803020386391
Rwanda,0.624,SSA,Dem. Rep. of the Congo,0.583,"SSA, FS",103788,0.50780883043682479
Sudan,0.397,"MENA, FS",Libya,0.608,"MENA, FS",101336,0.39638878457879584
